"[Problem solving, Using IT, Career Development, Application of information skills]",PowerPoint 1: Designing Slides (online),Productivity tools,9515476,22/11/2021 17:00,22/11/2021 18:00,MS TEAMS,"[Eshwar Seshagiri, Jing Soh]",2
"[Using IT, Research, Career Development]",Python Fundamentals 1: Numerical Variables (online),Data science tools and coding,9522525,08/11/2021 18:00,08/11/2021 19:00,https://lse.zoom.us/j/85725962302,[Anton Boichenko],3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4a: Lookup Functions (online),Productivity tools,9520009,04/11/2021 13:00,04/11/2021 14:00,MS TEAMS,"[Shenel Mushtaq, Lidya Stamper, Nedelin Velikov]",4
"[Using IT, Research, Career Development]",R Fundamentals 1: Numerical Variables,Data science tools and coding,9485876,03/11/2021 16:00,03/11/2021 17:00,LRB.R08,[Arina Ghanizadegan],3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 6: Using Macros (online),Productivity tools,9599340,18/02/2022 16:00,18/02/2022 17:00,MS TEAMS,"[Bardia Bijani Aval, Kara Jessup]",4
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4a: Lookup Functions,Productivity tools,9527748,30/11/2021 17:00,30/11/2021 18:00,LRB.R08,"[Bardia Bijani Aval, Bethanie Lim]",1
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4b: Pivot Tables (online),Productivity tools,9580099,19/01/2022 11:00,19/01/2022 12:00,MS TEAMS,"[Min Qi Boo, Shurjo Rana]",4
"[Using IT, Research, Career Development]",Tableau 4: Time Series and Aggregations (online),Data science tools and coding,9485951,28/10/2021 15:00,28/10/2021 16:00,https://lse.zoom.us/j/89015931479,[Giorgia Cecchinato],3
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 3: Data Manipulation (online),Productivity tools,9225876,24/11/2021 15:00,24/11/2021 16:00,MS TEAMS,[Eshwar Seshagiri],2
"[Problem solving, Using IT, Career Development, Application of information skills]",PowerPoint 3: Professional Slides,Productivity tools,9515542,08/02/2022 10:00,08/02/2022 11:00,LBR.R.08,[Isolde Hegemann],0
"[Using IT, Research, Career Development]",R Fundamentals 1: Numerical Variables (online),Data science tools and coding,9598152,03/02/2022 17:00,03/02/2022 18:00,https://lse.zoom.us/j/82078627399,[Lars Murdock Physant Murdock],6
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 5: Complex Calculations (online),Productivity tools,9630690,22/03/2022 14:00,22/03/2022 15:00,MS TEAMS,"[Jack Downes, Kara Jessup]",5
"[Using IT, Research, Career Development]",R Fundamentals 5: Loading Data and Packages (online),Data science tools and coding,9547087,24/02/2022 16:00,24/02/2022 17:00,https://lse.zoom.us/j/86380927939,[Lars Murdock Physant Murdock],7
"[Using IT, Research, Career Development]","R Fundamentals 2: Vectors, Functions, and Indexing",Data science tools and coding,9598271,08/02/2022 18:00,08/02/2022 19:00,LBR.R.08,[Arina Ghanizadegan],2
"[Using IT, Research, Career Development]",Tableau 1: Introduction to Tableau (online),Data science tools and coding,9623625,28/02/2022 14:00,28/02/2022 15:00,https://lse.zoom.us/j/85419155956,[Giorgia Cecchinato],7
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4b: Pivot Tables,Productivity tools,9527894,03/12/2021 15:00,03/12/2021 16:00,LRB.R08,"[Isolde Hegemann, Shurjo Rana]",3
"[Using IT, Research, Career Development]","R Fundamentals 2: Vectors, Functions, and Indexing",Data science tools and coding,9616486,18/02/2022 14:00,18/02/2022 15:00,https://lse.zoom.us/j/88220890052,[Arina Ghanizadegan],9
"[Using IT, Research, Career Development]",Working with Tabular Data 5: Pandas Data Exploring,Data science tools and coding,9486393,11/11/2021 10:00,11/11/2021 11:00,LRB.R08,[Kashvi Gandhi],1
"[Using IT, Research, Career Development]",R Fundamentals 7: Lists and Matrices (online),Data science tools and coding,9580024,28/01/2022 16:00,28/01/2022 17:00,https://lse.zoom.us/j/85013336621,[Lars Murdock Physant Murdock],3
"[Using IT, Research, Career Development]",Python Fundamentals 5: List of Lists (online),Data science tools and coding,9698727,14/06/2022 14:00,14/06/2022 15:00,https://lse.zoom.us/j/89387511046,[Nicolas Eduardo Santos Villagran],2
"[Using IT, Research, Career Development]",Python Fundamentals 6: Functions and Modules (online),Data science tools and coding,9679036,27/05/2022 13:00,27/05/2022 14:00,https://lse.zoom.us/j/89430733580,[Sara Luxmoore],5
"[Using IT, Research, Career Development]",Python for Finance Day 2: NumPy and Pandas,Data science academic support,9669689,17/05/2022 10:00,17/05/2022 13:30,CLM B.09,"[Giorgia Cecchinato, Adam Gray, Sara Luxmoore, Andrew Moles, Nicolas Eduardo Santos Villagran, Michael Wiemers]",0
"[Using IT, Research, Career Development]",R Data Visualisation 1: Data viz with ggplot2 (online),Data science tools and coding,9535503,01/12/2021 11:00,01/12/2021 12:00,https://lse.zoom.us/j/89322890399,[Andrew Moles],4
"[Specific skills, Using IT, Research, Career Development]",R Fundamentals 6: Conditionals and Logic,Data science tools and coding,9623966,17/03/2022 10:00,17/03/2022 11:00,LBR.R.08,[Maria Lopez],4
"[Using IT, Research, Career Development]",R Fundamentals 1 & 2: Fast-track Pilot,Data science tools and coding,9627182,22/03/2022 11:00,22/03/2022 13:00,LBR.R.08,[Arina Ghanizadegan],10
"[Using IT, Research, Career Development]",R Data Wrangling 2: Data wrangling with dplyr (online),Data science tools and coding,9485991,01/11/2021 11:00,01/11/2021 12:00,https://lse.zoom.us/j/85993169636,[Arina Ghanizadegan],5
"[Using IT, Research, Career Development]",Python Fundamentals 5: List of Lists (online),Data science tools and coding,9616598,24/02/2022 15:00,24/02/2022 16:00,https://lse.zoom.us/j/89387511046,[Ximin Chen],2
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 1: Calculated Worksheets,Productivity tools,9630865,28/03/2022 10:00,28/03/2022 11:00,LBR.R.08,[Lidya Stamper],1
"[Using IT, Research, Career Development]",Python Fundamentals 1 & 2: Fast-track Pilot,Data science tools and coding,9627170,21/03/2022 12:00,21/03/2022 14:00,LBR.R.08,[Ximin Chen],8
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions (online),Productivity tools,9520730,12/11/2021 12:00,12/11/2021 13:00,MS TEAMS,"[Min Qi Boo, Bethanie Lim]",1
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions (online),Productivity tools,9599353,10/02/2022 11:00,10/02/2022 12:00,MS TEAMS,"[Shenel Mushtaq, Jing Soh]",4
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4d: Charting Data (online),Productivity tools,9679305,11/05/2022 12:00,11/05/2022 13:00,MS TEAMS,[Kashvi Gandhi],3
"[Using IT, Research, Career Development]",Python Fundamentals 7: For loops (online),Data science tools and coding,9579944,27/01/2022 13:00,27/01/2022 14:00,https://lse.zoom.us/j/85227776197,[Giorgia Cecchinato],3
"[Using IT, Research, Career Development]",Python Fundamentals 2: String Variables (online),Data science tools and coding,9512391,08/11/2021 16:00,08/11/2021 17:00,https://lse.zoom.us/j/84527630297,[Andrew Moles],5
"[Using IT, Research, Career Development]","R Fundamentals 2: Vectors, Functions, and Indexing",Data science tools and coding,9616421,15/02/2022 12:00,15/02/2022 13:00,LBR.R.08,[Arina Ghanizadegan],6
"[Using IT, Research, Career Development]",Python Fundamentals 2: String Variables (online),Data science tools and coding,9616543,15/02/2022 13:00,15/02/2022 14:00,https://lse.zoom.us/j/89857574798,[Giorgia Cecchinato],7
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions,Productivity tools,9520580,10/11/2021 10:00,10/11/2021 11:00,LRB.R08,"[Jack Downes, Jing Soh]",2
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 2: Numeric Calculations (online),Productivity tools,9520606,11/11/2021 09:00,11/11/2021 10:00,MS TEAMS,"[Isolde Hegemann, Lidya Stamper]",3
"[Using IT, Research, Career Development]",Python Fundamentals 1: Numerical Variables,Data science tools and coding,9485852,28/10/2021 14:00,28/10/2021 15:00,LRB.R08,[Ximin Chen],5
"[Using IT, Research, Career Development]",Python Fundamentals 6: Functions and Modules,Data science tools and coding,9528371,16/11/2021 12:00,16/11/2021 13:00,LRB.R08,[Kashvi Gandhi],1
"[Using IT, Research, Career Development]",Python Fundamentals 1: Numerical Variables (online),Data science tools and coding,9616406,04/03/2022 14:00,04/03/2022 15:00,https://lse.zoom.us/j/82966465093,[Arina Ghanizadegan],1
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 1: Calculated Worksheets,Productivity tools,9519956,22/11/2021 10:00,22/11/2021 11:00,LRB.R08,"[Jack Downes, Jing Soh]",3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4e: Data Tools (online),Productivity tools,9598896,04/02/2022 13:00,04/02/2022 14:00,MS TEAMS,"[Manuela Capony, Kara Jessup]",5
"[Using IT, Research, Career Development]",Python Fundamentals 5: List of Lists,Data science tools and coding,9623674,02/03/2022 13:00,02/03/2022 14:00,LBR.R.08,[Arina Ghanizadegan],2
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4b: Pivot Tables,Productivity tools,9527610,29/11/2021 10:00,29/11/2021 11:00,LRB.R08,"[Jack Downes, Jing Soh]",3
"[Using IT, Research, Career Development]",Python Fundamentals 1: Numerical Variables (online),Data science tools and coding,9597907,01/02/2022 15:00,01/02/2022 16:00,https://lse.zoom.us/j/85725962302,[Giorgia Cecchinato],6
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 2: Numeric Calculations (online),Productivity tools,9630845,25/03/2022 12:00,25/03/2022 13:00,MS TEAMS,"[Manuela Capony, Lidya Stamper]",5
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4c: Sorting and Filtering,Productivity tools,9624152,03/03/2022 15:00,03/03/2022 16:00,LBR.R.08,"[Min Qi Boo, Kashvi Gandhi]",5
"[Problem solving, Using IT, Career Development, Application of information skills]",PowerPoint 1: Designing Slides (online),Productivity tools,9630752,23/03/2022 17:00,23/03/2022 18:00,MS TEAMS,"[Jack Downes, Shurjo Rana]",6
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4c: Sorting and Filtering (online),Productivity tools,9599321,11/02/2022 11:00,11/02/2022 12:00,MS TEAMS,[Eshwar Seshagiri],1
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions (online),Productivity tools,9624119,02/03/2022 10:00,02/03/2022 11:00,MS TEAMS,"[Min Qi Boo, Bethanie Lim]",8
"[Problem solving, Using IT, Career Development, Application of information skills]",PowerPoint 1: Designing Slides,Productivity tools,9599219,10/02/2022 09:00,10/02/2022 10:00,LBR.R.08,"[Manuela Capony, Jack Downes]",2
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 2: Numeric Calculations,Productivity tools,9599032,08/02/2022 17:00,08/02/2022 18:00,LBR.R.08,"[Min Qi Boo, Jing Soh]",6
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 6: Using Macros (online),Productivity tools,9207911,07/12/2021 10:00,07/12/2021 11:00,MS TEAMS,"[Min Qi Boo, Jack Downes]",2
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4a: Lookup Functions (online),Productivity tools,9206965,26/10/2021 16:00,26/10/2021 17:00,MS TEAMS,"[Isolde Hegemann, Bethanie Lim]",3
"[Using IT, Research, Career Development]",Python for Accounting 2,Data science academic support,9540379,07/12/2021 16:00,07/12/2021 18:00,LRB.R08,"[Kashvi Gandhi, Arina Ghanizadegan]",3
