company,rank,revenues,revenue_change,profits,assets,profit_change,sector,country,years_on_global_500_list,employees,total_stockholder_equity
Microsoft,69,85320,-8.8,16798,193694,37.8,Technology,USA,20,114000,71997
Anthem,70,84863,7.2,2469.8,65083,-3.5,Health Care,USA,16,53000,25100
Hitachi,71,84558,1.2,2134.3,86742,48.8,Technology,Japan,23,303887,26632
SoftBank Group,72,82892,8.4,13163.4,221113,233.3,Telecommunications,Japan,10,68402,32191
Banco Santander,73,82801,-2.5,6860.7,1412281,3.7,Financials,Spain,23,185606,95906
Citigroup,74,82386,-6.7,14912,1792077,-13.5,Financials,USA,23,219000,225120
Petrobras,75,81405,-16.3,-4838,246983,,Energy,Brazil,23,68829,76779
Robert Bosch,76,80869,3.3,2155.3,86348,-39.1,Motor Vehicles & Parts,Germany,23,389281,36316
Deutsche Telekom,77,80832,5.3,2958.1,156597,-18,Telecommunications,Germany,23,221000,30906
Hyundai Motor,78,80701,-0.8,4659,148092,-17.9,Motor Vehicles & Parts,South Korea,22,129315,55639
Comcast,79,80403,7.9,8695,180500,6.5,Telecommunications,USA,15,159000,53943
Credit Agricole,80,80258,-4.6,3914.7,1607501,0.4,Financials,France,23,70830,61460
IBM,81,79919,-3.1,11872,117470,-10,Technology,USA,23,414400,18246
Electricite de France,82,78740,-5.4,3152.8,297026,139.4,Energy,France,23,154808,36319
Huawei Investment & Holding,83,78511,24.9,5579.4,63837,-5,Technology,China,8,180000,20159
Enel,84,78064,-7,2842,164096,16.7,Energy,Italy,23,62080,36704
State Farm Insurance Cos.,85,76132,0.6,350.3,256030,-94.4,Financials,USA,23,68234,87592
China Resources National,86,75776,-1,2580.2,158291,3.7,Health Care,China,8,420572,23605
AEON,87,75772,11.8,103.9,78223,108.6,Retailing,Japan,23,274760,9567
HSBC Holdings,88,75329,-15.4,2479,2374986,-81.7,Financials,Britain,23,241000,175386
Pacific Construction Group,89,74629,2.2,3168.1,48196,-1.2,Engineering & Construction,China,4,362128,19835
Aviva,90,74628,105.9,948.8,544063,-32.3,Financials,Britain,23,29530,21004
Uniper,91,74407,,-3557.5,51541,,Energy,Germany,1,12890,12889
Tesco,92,74393,-15.1,-52.7,57052,-125.3,Food & Drug Stores,Britain,23,342770,8011
Engie,93,73692,-4.9,-458.9,167158,,Energy,France,22,153090,41740
Airbus Group,94,73628,3,1100.3,117204,-63.2,Aerospace & Defense,Netherlands,23,133782,3857
SK Holdings,95,72579,107.4,659.7,85332,-86,Energy,South Korea,2,84000,10858
Phillips 66,96,72396,-16.9,1555,51653,-63.2,Energy,USA,5,14800,22390
Johnson & Johnson,97,71890,2.6,16540,141208,7.3,Health Care,USA,17,126400,70418
Procter & Gamble,98,71726,-8.9,10508,127136,49.3,Household Products,USA,23,105000,57341
U.S. Postal Service,99,71498,3.7,-5591,25219,,Transportation,USA,23,574349,-55982
China Southern Power Grid,100,71242,-4.6,2329.8,99187,4.8,Energy,China,13,302421,38384
